"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10178","@MediaTypeVideoPublic created","","Fri Jul 25 11:48:35 IST 2025","passed","Fri Jul 25 11:48:45 IST 2025","","autopilot\autopilot.spec.js","",""
"","14795","@VerifyAssignTag created","","Fri Jul 25 11:47:57 IST 2025","passed","Fri Jul 25 11:48:12 IST 2025","","autopilot\autopilot.spec.js","",""
"","14522","@VerifyMediaPostIsPrivate created","","Fri Jul 25 11:48:21 IST 2025","passed","Fri Jul 25 11:48:35 IST 2025","","autopilot\autopilot.spec.js","",""
"","15485","@DeleteAutopilotRule created","","Fri Jul 25 11:49:05 IST 2025","passed","Fri Jul 25 11:49:20 IST 2025","","autopilot\autopilot.spec.js","",""
"","8126","@VerifyPostIsPrivate created","","Fri Jul 25 11:47:19 IST 2025","passed","Fri Jul 25 11:47:27 IST 2025","","autopilot\autopilot.spec.js","",""
"","9217","@AssignTagNetworkPost created","","Fri Jul 25 11:47:48 IST 2025","passed","Fri Jul 25 11:47:57 IST 2025","","autopilot\autopilot.spec.js","",""
"","19493","@VerifyMediaPostIsPublic created","","Fri Jul 25 11:48:45 IST 2025","passed","Fri Jul 25 11:49:05 IST 2025","","autopilot\autopilot.spec.js","",""
"","10541","@VerifyPostIsPublic created","","Fri Jul 25 11:47:37 IST 2025","passed","Fri Jul 25 11:47:48 IST 2025","","autopilot\autopilot.spec.js","",""
"","8685","@PrivateNetworkPost created","","Fri Jul 25 11:47:10 IST 2025","passed","Fri Jul 25 11:47:19 IST 2025","","autopilot\autopilot.spec.js","",""
"","10012","@PublicNetworkPost created","","Fri Jul 25 11:47:27 IST 2025","passed","Fri Jul 25 11:47:37 IST 2025","","autopilot\autopilot.spec.js","",""
"","8675","@MediaTypeVideoPrivate created","","Fri Jul 25 11:48:12 IST 2025","passed","Fri Jul 25 11:48:21 IST 2025","","autopilot\autopilot.spec.js","",""
"","43539","@INSTAGRAMHANDLE created","","Fri Jul 25 11:46:26 IST 2025","passed","Fri Jul 25 11:47:10 IST 2025","","autopilot\autopilot.spec.js","",""
